NAME;E;N;Z
Camona da Cavardiras CAS;2705124;1177731;2649
Chamanna Jenatsch CAS;2775352;1155672;2652
Cabane de Prafleuri;2595368;1102605;2655
Bivacco Anghileri e Rusconi;2795962;1134069;2655
Bergrestaurant Weissfluhjoch;2780569;1189571;2658
Silberhornhütte SAC;2637960;1155425;2661
Dossenhütte SAC;2655946;1167360;2664
Bergrestaurant Weissfluhjoch;2780578;1189594;2665
Bivouac du Dolent (La Maye) CAS;2571324;1086253;2669
Berghotel Faulhorn;2642916;1169437;2673
Topalihütte SAC;2624981;1111763;2673
Bistro Birg;2632137;1156815;2676
Cabane de Saleinaz CAS;2571453;1091722;2688
Lötschenpasshütte;2621390;1140589;2689
Schönbielhütte SAC;2614745;1094509;2695
Corvatsch Mittelstation Murtèl;2783274;1145093;2698
Täschhütte SAC;2630292;1100080;2700
Sidelenhütte;2675714;1161164;2714
Kistenpasshütte;2721334;1188922;2722
Weissmieshütte SAC;2641666;1110396;2723
Refuge des Pointes de Tsérié;2579793;1120460;2724
Bivacco Piano della Parete;2726136;1144329;2727
Chamanna Segantini;2789946;1153528;2733
Cabane de l'A Neuve CAS;2571170;1088648;2734
Aarbiwak SAC;2654722;1156276;2738
Berghaus Fuorcla Surlej;2784518;1144807;2756
Rottalhütte SAC;2638830;1152882;2759
Baltschiederklause SAC;2634702;1138280;2783
Wildstrubelhütte SAC;2602246;1136848;2787
Cabane Arpitettaz CAS;2618613;1105515;2787
Tierberglihütte SAC;2674610;1172781;2794
Guggihütte SAC;2641081;1156972;2798
Cabane des Aiguilles Rouges;2601453;1100539;2810
Restaurant Weissfluhgipfel;2779748;1189739;2824
Cabane de Moiry CAS;2612133;1104368;2825
Cabane d'Orny CAS;2570886;1094557;2829
Wetterradar Weissfluhgipfel;2779700;1189790;2830
Blüemlisalphütte SAC;2625561;1151041;2835
Monte-Leone-Hütte SAC;2649476;1123459;2848
Konkordiahütte SAC;2647176;1150090;2849
Panoramarestaurant Rothorngipfel;2764950;1179088;2857
Refuge l'Espace;2583463;1128745;2857
Horli-Hitta;2650339;1142044;2872
Monte-Rosa-Hütte SAC;2629145;1089554;2880
Restaurant Plaine Morte;2603864;1135426;2880
Restaurant Plaine Morte;2603848;1135427;2882
Refuge des Dents du Midi;2561411;1112659;2884
Cabane du Mountet CAS;2616629;1100969;2886
Bordierhütte SAC;2631773;1110429;2887
Restaurant Col des Gentianes;2589406;1103679;2894
Chamanna Federia;2799865;1153572;2895
Almagellerhütte SAC;2643998;1106394;2899
Mutthornhütte SAC;2630056;1148403;2902
Rifugio Camosci;2684331;1146526;2908
Radar météorologique Pointe de la Plaine Morte;2603688;1135476;2922
Cabane des Dix CAS;2598376;1095502;2928
ICE Buffet Bar Pizzeria;2621970;1091154;2928
Weisshornhütte SAC;2623588;1103873;2933
Domhütte SAC;2629307;1105769;2943
Planurahütte SAC;2710014;1186438;2947
360°-Restaurant Piz Gloria;2630397;1156303;2964
Berghaus Diavolezza;2794235;1143216;2975
Refuge des Bouquetins CAS;2607120;1091037;2978
Bivouac de l'Envers des Dorées;2569781;1092100;2983
Cabane des Becs de Bosson;2606000;1112528;2984
Bergrestaurant Felskinn;2636936;1102035;2992
Bergrestaurant Felskinn;2636939;1102038;2992
Cabane de Tortin;2590162;1103720;2992
Bivacco de Zen (Fletschhornbiwak);2643537;1114980;3006
Panorama-Restaurant Titlis;2675186;1180416;3019
Restaurant Piz Nair 10000 feet;2780282;1153152;3021
Gandegghütte;2622235;1090330;3028
Britanniahütte SAC;2638419;1101072;3029
Cabane de Valsorey CAS;2587056;1086546;3032
Cresta-Biwak SAC;2645791;1099417;3033
Fletschhornhütte;2641576;1115756;3042
Finsteraarhornhütte SAC;2651858;1152519;3052
Restaurant Rothorn;2627817;1096670;3101
Observatorium Nord Gornergrat;2626724;1092501;3109
3100 Kulmhotel Gornergrat;2626734;1092484;3110
Stellarium Gornergrat;2626722;1092469;3112
Berghütte Hohsaas;2642741;1109902;3139
Cabane des Vignettes CAS;2602872;1093137;3162
Bivacco Tita Roncon;2767883;1128731;3165
Cabane du Trient CAS;2569401;1094304;3170
Chamanna Georgy;2793245;1151527;3176
Bivouac de l'Aiguillette à la Singla CAS;2601197;1087765;3181
Bivacco Colombo CAI;2784122;1136958;3184
Rothornhütte SAC;2620027;1099705;3205
Arbenbiwak SAC;2617531;1097783;3224
Hollandiahütte SAC;2640051;1147241;3235
Cabane de Tracuit CAS;2618602;1108786;3253
Oberaarjochhütte SAC;2656352;1153013;3257
Hörnlihütte;2618469;1092314;3263
Refuge-Igloo des Pantalons Blancs;2594572;1098781;3280
Corvatsch Panoramarestaurant;2783146;1143517;3294
Restaurant 3303;2783135;1143496;3295
Berglihütte SAC;2644614;1157445;3299
Bivacco Alfredo Redaelli CAI;2765596;1129300;3306
