Kanton;Gemeindename;E;N
JU;Haute-Ajoie;2566632.017;1249106.838
FR;La Brillaz;2566691.75;1178958.581
VD;Leysin;2566911.342;1133415.264
FR;Bulle;2566968.287;1160728.999
NE;Cornaux;2567009.291;1208616.176
JU;Les Breuleux;2567154.128;1226592.774
VS;Saint-Maurice;2567188.407;1115987.485
VD;Bex;2567230.358;1121779.532
FR;Prez;2567308.393;1181549.155
JU;Boncourt;2567692.224;1259827.31
BE;Saint-Imier;2567806;1211724
FR;Haut-Intyamon;2568230.381;1150644.14
JU;Basse-Allaine;2568321.051;1256670.932
FR;Gibloux;2568692.093;1172805.732
FR;Vuadens;2568692.587;1164573.87
VD;Lavey-Morcles;2568739.992;1118904.359
JU;Saignelégier;2568904.533;1232852.985
VD;Avenches;2568971.469;1191419.776
FR;Autigny;2569022.169;1176699.348
JU;Courtedoux;2569075.072;1251298.547
FR;Cottens (FR);2569135.127;1178249.503
VD;Cudrefin;2569165.061;1200556.438
NE;Cressier (NE);2569267.198;1210963.589
JU;Les Enfers;2569357.594;1236710.143
JU;Le Bémont (JU);2569361.359;1234601.521
FR;Marsens;2569453.763;1167360.617
FR;Riaz;2569624.715;1165715.567
FR;Bas-Intyamon;2569752.553;1156315.991
FR;Avry;2569768.221;1181825.306
FR;Sorens;2569775.292;1169156.406
VS;Vernayaz;2569813.974;1108711.74
BE;Cormoret;2570242.421;1224204.196
JU;Courchavon;2570293.388;1254215.656
BE;Villeret;2570329.077;1222724.775
JU;Soubey;2570407.732;1240074.666
VD;Ormont-Dessous;2570433.864;1139757.044
VS;Collonges;2570530.941;1114332.671
BE;Gals;2570585.81;1208996.314
JU;Porrentruy;2570598.302;1251048.538
VS;Dorénaz;2570784.803;1110833.042
VD;Rossinière;2571107.19;1146213.285
BE;Gampelen;2571159.915;1205094.434
BE;Nods;2571206.123;1219028.431
FR;Neyruz (FR);2571242.013;1179512.26
JU;Montfaucon;2571536.076;1232901.945
FR;Grolley-Ponthaux;2571579.744;1187117.408
NE;Le Landeron;2571770.969;1210360.843
