Kanton;Gemeindename;E;N
GR;Lumnezia;2734204.527;1175432.045
TG;Hohentannen;2734427.29;1263247.122
AR;Schönengrund;2734960.432;1243232.5
TG;Münsterlingen;2735053.099;1277123.597
TG;Erlen;2735140.208;1268038.13
SG;Gossau (SG);2735402.414;1251116.622
AR;Schwellbrunn;2735667.484;1246039.833
GR;Cama;2735998.319;1124796.973
GR;Falera;2736048.791;1186218.077
TG;Langrickenbach;2736057.336;1271855.026
SG;Quarten;2736426.326;1218428.031
GR;Schluein;2736571.467;1183940.321
TG;Hauptwil-Gottshaus;2736903.459;1261078.577
TG;Altnau;2736920.352;1274053.341
GR;Mesocco;2737058.613;1140379.768
TG;Zihlschlacht-Sitterdorf;2737283.355;1264926.299
GR;Lostallo;2737661.593;1129566.535
GR;Soazza;2737838.242;1134763.032
GR;Ilanz/Glion;2737858.559;1176210.703
AR;Waldstatt;2738290.224;1245209.796
TG;Bischofszell;2738576.924;1263700.591
TG;Sommeri;2738650.796;1270472.52
SG;Andwil (SG);2738868.167;1255826.711
SG;Waldkirch;2738980.55;1258306.802
TG;Güttingen;2738990.159;1273596.833
GR;Flims;2739542.329;1190994.473
AR;Herisau;2739613.052;1249249.526
GR;Sagogn;2740635.619;1184708.364
TG;Kesswil;2741110.6;1272660.422
TG;Hefenhofen;2741132.202;1269250.042
SG;Gaiserwald;2741530.842;1254643.579
SG;Walenstadt;2741611.017;1220344.936
TG;Dozwil;2741656.834;1271130.961
SG;Muolen;2741720.381;1264742.942
AR;Urnäsch;2742083.179;1236743.778
TG;Amriswil;2742193.414;1267773.02
AR;Hundwil;2742220.778;1246655.816
SG;St. Gallen;2742588.133;1251693.878
AI;Gonten;2742815.179;1243991.611
SG;Häggenschwil;2742949.413;1261640.024
SG;Wildhaus-Alt St. Johann;2743022.833;1234775.063
TG;Uttwil;2743081.628;1271400.089
GR;Trin;2743523.542;1193588.26
AR;Stein (AR);2744153.915;1246757.534
SG;Flums;2744346.791;1217526.316
TG;Romanshorn;2744417.926;1270024.063
GR;Rheinwald;2744776.54;1156002.905
GR;Safiental;2744800.689;1182844.278
TG;Salmsach;2744905.792;1268458.326
TG;Egnach;2746326.362;1267288.128
GR;Tschappina;2746849.891;1171407.318
TG;Roggwil (TG);2747172.632;1263969.664
AI;Schlatt-Haslen;2747515.92;1245950.436
GR;Bonaduz;2747671.26;1180496.859
SG;Wittenbach;2747759.437;1257460.483
AR;Teufen (AR);2748131.146;1250588.121
SG;Berg (SG);2748778.323;1261544.19
AI;Appenzell;2748935.917;1243199.212
GR;Rhäzüns;2749369.585;1183501.578
GR;Sufers;2749447.079;1157370.797
TG;Arbon;2749697.129;1264193.139
GR;Flerden;2749828.036;1170685.724
GR;Urmein;2749849.761;1172946.288
SG;Mörschwil;2749930.211;1259279.699
AR;Bühler;2750072.765;1249376.239
GR;Tamins;2750287.372;1189898.962
SG;Steinach;2750473.706;1262377.631
SG;Mels;2751040.09;1212287.469
AR;Speicher;2751139.526;1252647.595
SG;Tübach;2751163.168;1261016.936
GR;Rothenbrunnen;2751363.031;1182408.069
GR;Andeer;2751403.771;1160485.15
SG;Gams;2751543.811;1231214.326
TG;Horn;2751638.476;1261904.269
GR;Masein;2751717.671;1173515.767
AR;Trogen;2751734.536;1250758.204
GR;Muntogna da Schons;2751928.854;1166253.557
GR;Cazis;2751933.035;1178132.855
SG;Untereggen;2752190.253;1257730.873
SG;Grabs;2752338.727;1227693.189
GR;Domleschg;2752432.391;1184833.436
GR;Thusis;2752449.24;1172390.912
SG;Goldach;2752631.058;1260178.171
SG;Sevelen;2752910.58;1222181.174
AR;Gais;2752939;1248506.591
SG;Eggersriet;2753013.767;1255944.906
GR;Rongellen;2753051.229;1171062.8
GR;Domat/Ems;2753557.673;1187353.665
GR;Fürstenau;2753678.624;1176576.718
SG;Rorschach;2754068.144;1260173.716
GR;Felsberg;2754289.686;1191882.605
SG;Sargans;2754404.167;1214943.936
SG;Wartau;2754404.167;1214943.936
SG;Buchs (SG);2754443.238;1225804.46
SG;Bad Ragaz;2754685.088;1208302.991
SG;Vilters-Wangs;2754759.4;1210921.038
GR;Ferrera;2755256.595;1157771.576
GR;Zillis-Reischen;2755445.863;1167928.136
SG;Rorschacherberg;2755458.912;1259310.501
AR;Wald (AR);2755486.125;1253563.432
GR;Sils im Domleschg;2755504.493;1173047.199
SG;Altstätten;2755814.749;1250527.561
AR;Grub (AR);2755965.695;1256638.395
GR;Scharans;2756234.335;1175811.595
SG;Sennwald;2756269.948;1236684.02
AR;Rehetobel;2756514.194;1255630.572
GR;Fläsch;2756837.926;1211906.989
SG;Pfäfers;2758231.578;1205765.568
GR;Untervaz;2758340.856;1198794.267
AR;Heiden;2758382.695;1258081.728
SG;Oberriet (SG);2758636.228;1244693.206
SG;Eichberg;2758762.94;1246006.541
GR;Bregaglia;2758846.368;1140998.543
AI;Oberegg;2758891.605;1255501.464
AR;Wolfhalden;2758904.424;1258915.729
GR;Chur;2759666.064;1191898.364
GR;Churwalden;2759723.46;1182861.885
GR;Avers;2759859.099;1144649.189
SG;Marbach (SG);2759944.076;1251774.388
SG;Thal;2759962.029;1259084.173
GR;Vaz/Obervaz;2760274.493;1174105.555
AR;Reute (AR);2760400.518;1252381.255
GR;Landquart;2760774.431;1203549.449
AR;Lutzenberg;2761051.041;1258566.053
GR;Zizers;2761566.18;1200936.699
GR;Jenins;2761726.885;1208495.487
SG;Rheineck;2762014.474;1259549.916
SG;Rebstein;2762121.81;1253055.958
GR;Trimmis;2762178.659;1195397.478
GR;Maienfeld;2762450.142;1212294.601
GR;Malans;2763014.881;1206503.712
SG;Berneck;2763156.306;1253738.185
GR;Lantsch/Lenz;2763538.443;1174294.84
AR;Walzenhausen;2763555.034;1257177.727
SG;Balgach;2764139.444;1251570.141
SG;St. Margrethen;2764910.798;1258332.529
SG;Widnau;2765131.188;1251349.328
GR;Albula/Alvra;2765256.767;1172905.034
GR;Surses;2765961.056;1165875.908
SG;Au (SG);2765965.789;1255690.667
SG;Diepoldsau;2766762.688;1250114.612
GR;Grüsch;2767756.492;1203386.932
GR;Furna;2769238.125;1197999.313
GR;Arosa;2770813.96;1182490.393
GR;Schiers;2770878.839;1204625.872
GR;Schmitten (GR);2771251.644;1174706.949
GR;Jenaz;2772709.081;1196598.387
GR;Fideris;2775136.087;1195545.29
GR;Bever;2775987.751;1155882.331
GR;Luzein;2776982.444;1199241.911
GR;Silvaplana;2778409.971;1150018.275
GR;Conters im Prättigau;2778991.002;1195286.53
GR;Küblis;2779294.691;1199742.2
GR;Sils im Engadin/Segl;2779900.688;1145354.229
GR;Samedan;2784664.455;1156592.837
GR;St. Moritz;2786272.194;1152305.687
GR;Davos;2786344.478;1183486.285
GR;Celerina/Schlarigna;2786536.167;1153001.059
GR;Zuoz;2787505.517;1165190.177
GR;Pontresina;2788560.666;1151941.923
GR;Madulain;2791108.669;1162675.636
GR;La Punt Chamues-ch;2793371.748;1157265.239
GR;Klosters;2793572.925;1190413.949
GR;S-chanf;2797860.167;1163645.142
GR;Poschiavo;2799108.111;1135640.079
GR;Zernez;2806740.537;1171587.662
GR;Brusio;2806782.888;1128154.201
GR;Valsot;2813756.688;1198278.75
GR;Scuol;2820785.895;1179758.872
GR;Samnaun;2825730.708;1205767.04
