NAME;E;N;Z
Kleindöttingen;2660832;1269064;319
Kappel SO;2630851;1241363;425
Egerkingen;2626768;1240894;435
Safenwil;2641290;1241469;467
Sarmenstorf;2661307;1240044;533
Oberbuchsiten;2625074;1239992;449
Boswil;2666111;1239524;450
Neuendorf;2627195;1239180;436
Jonen;2672069;1239031;407
Meisterschwanden;2659706;1238625;501
Muri AG;2668341;1235986;461
Ottenbach;2673070;1237198;414
Brittnau;2638313;1234424;451
Merenschwand;2670927;1234753;394
Stein AG;2638585;1265975;300
Reinach AG;2655893;1234464;520
Menziken;2656838;1232417;547
Hitzkirch;2662221;1230853;487
Rickenbach LU;2654090;1230235;685
Unterentfelden;2645791;1246557;418
Sins;2672349;1227285;426
Hochdorf;2664397;1224327;481
Ballwil;2666974;1222876;504
Sempach;2657384;1220373;533
Rain;2661276;1219877;589
Inwil;2668966;1219378;417
Port;2585926;1218191;465
Brügg BE;2587994;1219202;433
Aegerten;2588544;1218744;432
Root;2671565;1217525;432
Neuenkirch;2657834;1216982;560
Buchrain;2669261;1216548;457
Kirchberg BE;2610928;1215257;507
Adligenswil;2670423;1213781;534
Le Locle;2547648;1211995;920
Schüpfen;2594829;1209844;521
Malters;2656629;1210192;492
Schöftland;2646478;1239899;459
Stans;2670303;1201613;448
Schüpfheim;2643989;1200015;725
Kerns;2663709;1194518;568
Sarnen;2661610;1194377;471
Beinwil am See;2657886;1235425;515
Sachseln;2660859;1190827;498
Döttingen;2661544;1269229;329
Wilderswil;2632380;1168128;595
Echallens;2538383;1165722;617
Grindelwald;2645574;1163889;1039
Brig;2642689;1129466;713
Briga;2642689;1129466;713
Brigue;2642689;1129466;713
Clarens;2557728;1144055;444
Killwangen;2668803;1253830;414
Naters;2642907;1130615;674
Glis;2641514;1128980;683
St-Léonard;2598629;1122171;501
Bramois;2597110;1120036;509
Conthey;2589511;1119044;491
Vétroz;2587616;1118890;478
Ardon;2586358;1117481;485
Riddes;2583087;1113165;478
Saillon;2580837;1113298;466
Strengelbach;2636673;1237747;426
Hausen AG;2658334;1257003;380
Unterkulm;2651078;1240260;465
Oberrohrdorf;2666242;1252582;499
Fahrwangen;2660788;1238510;543
Rothenburg;2663022;1216696;499
Grône;2602248;1122590;511
Brienz BE;2646829;1177748;568
Langnau im Emmental;2626362;1199156;690
Grimisuat;2595969;1122949;860
Corseaux;2553021;1146778;421
Corsier-sur-Vevey;2554584;1146906;440
Eschenbach LU;2666999;1220342;458
Zollbrück;2623405;1202547;626
Saxon;2579203;1110573;463
Meggen;2671294;1210970;467
Stansstad;2668612;1203011;437
Hergiswil NW;2666179;1204588;484
Lotzwil;2626881;1226692;501
Büron;2649685;1229402;511
Ettiswil;2643872;1222285;518
Geuensee;2650788;1227853;513
Ruswil;2652290;1215097;652
Bützberg;2623424;1229379;474
Nebikon;2640981;1226895;494
Schenkon;2652739;1225274;528
Oberkirch LU;2651143;1223604;516
Huttwil;2631098;1218131;648
Grosswangen;2646415;1220371;547
Nottwil;2652411;1220541;562
Buttisholz;2649876;1218158;566
Wolhusen;2647934;1211867;572
Fully;2575332;1109904;460
Charrat;2576267;1108243;460
Le Châble VS;2582522;1103229;825
Zermatt;2623564;1095898;1650
Praborgne;2623564;1095898;1650
Perly;2496003;1112798;431
Claro;2722249;1123691;308
Gordola;2710495;1115275;210
Cugnasco;2713973;1114696;218
Losone;2702177;1113558;228
Tenero;2708990;1114759;199
Minusio;2706540;1115044;233
Muralto;2705325;1114584;228
Sementina;2719744;1115695;231
Monte Carasso;2720390;1116230;242
Giubiasco;2721159;1114777;237
S. Antonino;2717951;1112743;209
Solduno;2703056;1114128;219
Ascona;2702906;1112559;206
Roveredo GR;2730166;1121911;306
Unterseen;2630957;1170484;576
Interlaken;2631983;1170419;567
Endingen;2664103;1265587;385
Nussbaumen AG;2664271;1260171;381
Studen BE;2590027;1217658;433
Bad Zurzach;2664396;1271066;340
Emmen;2664703;1215544;450
Urtenen-Schönbühl;2604750;1208116;529
Magden;2628127;1264306;325
Würenlingen;2661186;1264556;361
Oberkulm;2651500;1239088;476
Zweisimmen;2594932;1156156;945
Romanel-sur-Lausanne;2536062;1157320;598
Alpnach Dorf;2663237;1198832;470
Yvonand;2547617;1183242;433
Triengen;2648238;1231865;515
Beromünster;2657172;1228533;644
Schötz;2641800;1224701;504
Wauwil;2644205;1226219;521
Willisau;2641852;1218976;559
Cadenazzo;2716095;1112436;206
Ehrendingen;2668239;1261508;448
Reiden;2640535;1232614;480
La Neuveville;2574483;1213085;458
Neuenstadt;2574483;1213085;458
Staufen;2655098;1247944;421
Kaiseraugst;2622332;1265128;294
Ried-Brig;2644521;1129454;906
Corcelles NE;2556956;1204042;601
Kerzers;2581578;1202621;454
Sugiez;2575351;1201623;432
Bolligen;2604664;1202866;610
Payerne;2561704;1186100;448
Corcelles-près-Payerne;2563474;1187033;449
Courtepin;2575932;1190396;566
Givisiez;2576649;1184702;645
Corminboeuf;2574360;1184414;660
Schmitten FR;2585179;1189050;677
Wünnewil;2587677;1191431;615
Schwarzenburg;2592670;1185295;792
Marly;2578430;1180720;619
Moudon;2550976;1168763;510
Blonay;2558337;1146750;671
Meiringen;2656726;1175603;593
Broc;2574267;1161118;716
Charmey (Gruyère);2578869;1163142;895
Moosseedorf;2603583;1206944;540
Bremgarten b. Bern;2599700;1202571;523
Hinterkappelen;2595217;1201618;503
Kehrsatz;2602609;1195713;565
Neuenegg;2590011;1193716;527
Flamatt;2591351;1193137;541
Niederscherli;2596341;1192635;679
St-Prex;2524465;1148461;395
Aubonne;2519607;1149661;503
Lonay;2529418;1153050;409
Préverenges;2530121;1152109;397
Echandens;2531289;1154300;423
Erlinsbach;2643327;1249920;418
Arbedo;2724052;1119481;277
Porrentruy;2572561;1251709;436
Courgenay;2576238;1250399;490
Arlesheim;2613517;1260854;319
Biel-Benken BL;2606380;1261755;312
Hofstetten SO;2605761;1258501;462
Zwingen;2607031;1254077;342
Laufen;2604739;1252050;354
Breitenbach;2608271;1250650;397
St-Imier;2566331;1222319;806
Bassecourt;2585573;1243010;477
Reconvilier;2583556;1231519;731
Tramelan;2574474;1230272;901
Tavannes;2581885;1230075;774
Pieterlen;2592056;1224700;436
Perles;2592056;1224700;436
Leubringen;2584862;1222149;699
Evilard;2584862;1222149;699
Orpund;2590021;1220795;431
Courrendlin;2594899;1243114;434
Moutier;2594899;1236383;529
Luterbach;2611084;1229577;429
Bellach;2604753;1228986;446
Deitingen;2613697;1229254;430
Derendingen;2611511;1226310;446
Subingen;2613151;1227222;441
Biberist;2609330;1225894;445
Gerlafingen;2609941;1224387;451
Recherswil;2611921;1223325;459
Büren an der Aare;2594789;1221148;428
Aarburg;2635117;1242271;407
Balsthal;2619318;1240443;490
Rothrist;2633462;1239298;411
Oensingen;2621153;1237340;459
Niederbipp;2619242;1235489;469
Wolfwil;2626560;1235225;430
Roggwil BE;2628846;1232462;451
Aarwangen;2625258;1231558;457
Herzogenbuchsee;2620409;1226670;471
Fleurier;2534787;1194847;745
Cernier;2559105;1212162;826
Les Geneveys-sur-Coffrane;2555425;1207328;857
Colombier NE;2555737;1201946;458
Cortaillod;2554775;1199506;489
Bevaix;2552099;1197560;494
St-Aubin-Sauges;2549053;1193765;487
Domdidier;2567756;1190799;441
Estavayer-le-Lac;2555060;1188331;471
Busswil BE;2591160;1216566;436
Worben;2589178;1216796;436
Le Landeron;2571798;1211890;438
Ins;2574336;1206073;468
Anet;2574336;1206073;468
Avenches;2569714;1192489;451
Düdingen;2580969;1188412;569
Fraubrunnen;2606554;1215090;493
Hindelbank;2607779;1210341;521
Oberburg;2613884;1209879;555
Münchenbuchsee;2600602;1207630;562
Ittigen;2603150;1203117;560
Boll;2608384;1200259;570
Worb;2609545;1197665;588
Rüfenacht BE;2607426;1197581;606
Grosshöchstetten;2615254;1195226;757
Rubigen;2608089;1194060;546
Konolfingen;2613857;1192134;663
Toffen;2604055;1189663;539
Wichtrach;2609798;1188206;528
Oberdiessbach;2614152;1187781;630
Vallorbe;2518638;1173808;753
Ste-Croix;2528683;1186149;1088
Chavornay;2533503;1173027;454
La Sarraz;2529103;1167752;481
Cossonay-Ville;2528516;1162946;568
Penthalaz;2529952;1162581;453
Froideville;2542276;1161221;810
Cugy VD;2538926;1159700;703
Cheseaux-sur-Lausanne;2535569;1159319;597
Romont FR;2559819;1171288;726
Vuadens;2568094;1162965;807
Belfaux;2573933;1185768;592
Tafers;2583033;1184705;655
Neyruz FR;2571366;1179623;708
Riggisberg;2603012;1184266;765
Heimberg;2612545;1182160;548
Uttigen;2610825;1182447;543
Seftigen;2607671;1181990;590
Wattenwil;2604826;1179797;657
Thierachern;2610492;1178152;567
Wimmis;2615560;1169682;631
Spiez;2618575;1170634;609
Gimel;2513416;1151675;725
Etoy;2521767;1148956;457
Rolle;2515235;1145831;390
Arzier-Le Muids;2505205;1145807;868
Genolier;2506276;1143529;551
