NAME;E;N;Z
Festihorn;2625273;1114007;3092
Piz Cristanas;2825686;1180173;3092
Piz Foraz;2817052;1174966;3092
Pizzo Zoccone;2741322;1150355;3092
Piz da la Funtauna;2782021;1156781;3093
Piz San Jon Dadaint;2821563;1182108;3093
Stockji;2613313;1093665;3093
Piz Serra;2804264;1165641;3095
Löffelhorn;2661262;1153143;3096
Piz Giuv;2695897;1173059;3096
Piz Valdraus;2715941;1165700;3096
Schattig Wichel;2695897;1173059;3096
Piz Roz;2819101;1201140;3097
Piz Urschai Dadaint;2809527;1192927;3097
Südlicher Chalausspitz;2809651;1193707;3097
Vesilspitz;2819101;1201140;3097
Wängerhorn;2618118;1112236;3097
Gross Muttenhorn;2675816;1155507;3099
Piz Albana;2779281;1150421;3099
Piz Grisch;2780047;1154492;3099
Piz Madlain;2821617;1180588;3099
Piz Segnas;2737207;1196773;3099
Zahnspitze;2813070;1196397;3100
Piz Sagliains;2800723;1187551;3101
Piz Tumpiv;2718234;1182865;3101
Pointe des Grands;2565225;1094724;3101
Heimstock;2709211;1184937;3102
Piz Cancian;2797346;1128984;3103
Pizzo Cassinello;2721536;1155306;3103
Monte Breva;2800112;1150596;3104
Piz la Stretta;2800112;1150596;3104
Piz Plazèr;2825492;1177266;3104
Piz Zadrell;2799663;1187962;3104
Pizzo Cingino Sud;2644789;1097245;3104
Rothorn;2609943;1136678;3104
Unterrothorn;2627797;1096653;3104
Mättenberg;2649043;1162116;3105
Munt Cotschen;2799829;1154300;3105
Schwarzhorn;2610882;1136996;3105
Hinder Panärahorn;2746416;1195841;3106
Piz Glüna;2780273;1155513;3106
Piz Lischana;2821967;1183931;3106
Ruchi;2722486;1191682;3106
Gemsspitz;2808450;1192816;3107
Gletscherhorn;2763215;1139549;3107
Pizz Gallagiun;2757666;1137118;3107
Pizzo del Muretto;2777395;1135976;3107
Punta dello Stambecco;2721512;1152525;3107
Ritzhörner;2667997;1144454;3107
Vordere Helse;2657251;1129541;3107
Brandlammhoren;2662766;1159249;3108
Krönten;2686341;1181844;3108
Punta Marani;2660476;1131756;3108
Rothorn;2645710;1113356;3108
Schwarzhorn;2660476;1131756;3108
Gross Litzner;2798100;1196097;3109
Piz a Spescha;2710399;1163321;3109
Piz Vallatscha;2706799;1159887;3109
Piz Salteras;2773942;1161433;3111
Vorder Tierberg;2660596;1155718;3111
Chilchlistock;2668780;1168469;3113
Pfaffestecki;2649260;1157815;3113
Mont Guitsa;2601041;1097828;3114
Piz da Sterls;2743069;1196250;3114
Piz Mingèr;2816201;1179211;3114
Tristelhorn;2743069;1196250;3114
Chüetriftehoren;2660721;1159615;3117
Piz Aguagliouls;2786372;1140238;3117
Piz Alvra;2783177;1163381;3117
Schwarzhorn;2724172;1153811;3117
Wannihorn;2627170;1134694;3117
Piz Miez;2706799;1159301;3119
Piz Zuort;2815814;1179918;3119
Claridenhorn;2709638;1188019;3120
Pizzo Pesciora;2679699;1153129;3120
Steinhüshoren;2668360;1168924;3120
Piz Aul;2729154;1164892;3121
Piz Gaglianera;2716331;1165422;3121
Gross Seehorn;2797637;1196253;3122
Piz da la Crappa;2815979;1179606;3122
Piz Piotta;2727038;1145498;3122
Piz Rosatsch;2785502;1148288;3122
Piz Scharboda;2723515;1160064;3122
Punta Allievi;2771871;1129656;3122
Schilthorn;2636425;1134451;3122
Becca d'Audon;2583275;1130896;3123
Oldehore;2583275;1130896;3123
Piz Marsch;2780572;1156376;3123
Bündner Tödi;2715167;1184560;3124
Fanellhorn;2729752;1156568;3124
Jegichnubel;2636325;1146520;3124
Languard Pitschen;2793335;1151373;3124
Piz Greina;2717554;1165443;3124
Piz Nuna;2807584;1178268;3124
Simelihorn;2638871;1116544;3124
Tödi Grischun;2715167;1184560;3124
Piz da l'Acqua;2806830;1165755;3125
Piz Schumbraida;2822359;1158713;3125
Chli Düssi;2705949;1182846;3126
Schwarzhorn;2628865;1136962;3126
Distelberg;2640736;1143438;3127
Munt Arlas;2784712;1146379;3127
Piz d'Esan;2800770;1167029;3127
Piz Sarsuret;2796493;1174186;3127
Cima di Aquila;2720906;1154777;3128
Glaserhorn;2744329;1196257;3128
Kastelhorn;2678327;1141720;3128
Piz Bleis Marscha;2774859;1160186;3128
Piz Cristallina;2710579;1163072;3128
Piz Cassimoi;2721200;1154277;3129
Piz Jut;2721544;1152809;3129
Piz Clüx;2792275;1152430;3130
Piz Grialetsch;2792437;1174475;3131
Grand Laget;2584345;1094727;3133
Hinter Schloss;2683081;1184067;3133
Piz Sarsura Pitschen;2795664;1175749;3133
Pointe d'Arpitetta;2617614;1106613;3133
Abschwunghorn;2655714;1157435;3134
Pizzo Cramorino;2724556;1148518;3134
Foratrida;2827084;1176970;3135
Piz Duan;2764993;1138291;3135
Piz Jeramias;2806064;1192072;3135
Piz San Gian;2785078;1147997;3135
Chli Spannort;2682288;1181582;3136
Gabelhorn;2632427;1113394;3136
Petit Mont Fort;2591276;1102636;3136
Pizzo de Stabi;2726812;1148598;3136
Il Corn;2792517;1154722;3137
Piz Laviner;2775439;1158014;3137
Piz Pischa;2795426;1150492;3137
Gross Ruchen;2701975;1185205;3138
Le Dôme;2560113;1109028;3138
Piz dals Vadès;2816866;1180113;3140
Mittaghorn;2638606;1103796;3143
Monte Cornaccia;2820026;1159371;3144
Piz Suvretta;2778017;1154112;3144
Piz Tea Fondada;2820026;1159371;3144
Alpjuhorn;2636168;1135209;3145
Frilihorn;2617585;1113243;3145
Tossen;2655415;1166332;3145
Piz Mundin;2827834;1201487;3146
Piz Trovat;2794657;1142515;3146
Schwarzhora;2791281;1179113;3146
Herdhorn;2636158;1137639;3147
Piz Canton;2797036;1137469;3147
Stäghore;2611185;1140607;3147
Äusser Rothorn;2639998;1113883;3148
Chlis Schneehore;2608285;1138082;3148
Egghorn;2802311;1192337;3148
Becs de Bosson;2606204;1112961;3149
Piz Terri;2722240;1162216;3149
Aiguilles Tourelle;2570233;1094681;3151
Grande Pointe des Planereuses;2571595;1090812;3151
Piz Uffiern;2711468;1163108;3151
Piz Traunter Ovas;2775809;1154121;3152
Piz Prüna;2795662;1151610;3153
Monte dell'Oro;2778877;1134645;3154
Piz Chalchagn;2789533;1147430;3154
Piz Quattervals Pitschen;2803324;1167107;3155
Zapporthorn;2728555;1148961;3155
Hinter Jamspitz;2807229;1192117;3156
Jupper Horn;2763509;1148420;3156
Strahlhorn;2669245;1167872;3156
Piz Muragl;2791781;1152673;3157
Punta Mottiscia;2654113;1128099;3157
